CRATE,3.7311608961303464,0.982
DEALT,3.7333333333333334,0.99
PLACE,3.7565922920892496,0.986
TRACE,3.757085020242915,0.988
STONE,3.7621951219512195,0.984
SLATE,3.771717171717172,0.99
ALERT,3.774193548387097,0.992
CASTE,3.7845528455284554,0.984
RENAL,3.786150712830957,0.982
CLEAT,3.786290322580645,0.992
SPELT,3.788732394366197,0.994
CLEAR,3.797979797979798,0.99
LEANT,3.799595141700405,0.988
STOLE,3.8048289738430583,0.994
STARE,3.805668016194332,0.988
STAIR,3.8157894736842106,0.988
HORSE,3.816161616161616,0.99
SNARE,3.817813765182186,0.988
TROPE,3.819105691056911,0.984
CREST,3.8198380566801617,0.988
PRONE,3.820773930753564,0.982
PANEL,3.821501014198783,0.986
TOPIC,3.821501014198783,0.986
PALER,3.8255578093306286,0.986
BLOAT,3.827935222672065,0.988
PLAIT,3.827935222672065,0.988
RISEN,3.8323232323232324,0.99
PAINT,3.8363636363636364,0.99
PLEAT,3.838056680161943,0.988
SLAIN,3.838709677419355,0.992
PULSE,3.839034205231388,0.994
LATHE,3.839430894308943,0.984
PETAL,3.840725806451613,0.992
ENACT,3.8421052631578947,0.988
PLEAD,3.8421052631578947,0.988
PHASE,3.8434959349593494,0.984
PLANE,3.8434959349593494,0.984
DRAPE,3.845528455284553,0.984
REACT,3.8464646464646464,0.99
SAUTE,3.8464646464646464,0.99
CAPER,3.84928716904277,0.982
STAIN,3.849898580121704,0.986
NOISE,3.8513238289205702,0.982
SPIRE,3.8516260162601625,0.984
STALE,3.8516260162601625,0.984
FROST,3.852,1.0
STORE,3.854251012145749,0.988
CRUEL,3.8545454545454545,0.99
PARSE,3.8559837728194726,0.986
SMITE,3.8582995951417005,0.988
WREST,3.859154929577465,0.994
PASTE,3.8597560975609757,0.984
ARSON,3.8600405679513186,0.986
CLEAN,3.8600405679513186,0.986
PLANT,3.8611670020120723,0.994
TREAD,3.8620689655172415,0.986
BASTE,3.8635437881873727,0.982
TILDE,3.863821138211382,0.984
FORTE,3.864097363083164,0.986
SPITE,3.8643724696356276,0.988
GRATE,3.8646464646464644,0.99
BLAND,3.8649193548387095,0.992
SCALE,3.8658536585365852,0.984
CLOUT,3.866125760649087,0.986
SPINE,3.866125760649087,0.986
ARTSY,3.8676171079429733,0.982
RINSE,3.86815415821501,0.986
HEARD,3.869653767820774,0.982
SIREN,3.869918699186992,0.984
STAGE,3.870182555780933,0.986
TRIAL,3.8704453441295548,0.988
BEAST,3.8716904276985744,0.982
PEARL,3.8719512195121952,0.984
TRAIL,3.8719512195121952,0.984
SLANT,3.8732394366197185,0.994
EARLY,3.8737270875763747,0.982
SCARE,3.8737270875763747,0.982
THIEF,3.8760162601626016,0.984
PERIL,3.876267748478702,0.986
PLATE,3.876518218623482,0.988
SPIEL,3.876518218623482,0.988
HASTE,3.877016129032258,0.992
FETAL,3.878787878787879,0.99
CRONE,3.879837067209776,0.982
LINER,3.879837067209776,0.982
ISLET,3.880566801619433,0.988
MEANT,3.880566801619433,0.988
SETUP,3.8815261044176705,0.996
TIGER,3.8818737270875765,0.982
CAMEL,3.882828282828283,0.99
DECAL,3.882828282828283,0.99
MOTEL,3.883910386965377,0.982
BOAST,3.8843813387423936,0.986
SHIED,3.8843813387423936,0.986
SHAPE,3.8846153846153846,0.988
STEAL,3.8846153846153846,0.988
THOSE,3.8848484848484848,0.99
BLAST,3.885311871227364,0.994
SPENT,3.885311871227364,0.994
BRIDE,3.886178861788618,0.984
FILET,3.886178861788618,0.984
CAROL,3.88663967611336,0.988
LEAST,3.886868686868687,0.99
SPACE,3.8870967741935485,0.992
STRAP,3.8870967741935485,0.992
SLURP,3.887323943661972,0.994
GONER,3.8879837067209775,0.982
SPICE,3.8884381338742395,0.986
LOATH,3.888663967611336,0.988
METAL,3.888663967611336,0.988
STAND,3.888663967611336,0.988
PROSE,3.8891129032258065,0.992
SALON,3.890020366598778,0.982
SONAR,3.890020366598778,0.982
TRIAD,3.890020366598778,0.982
CANOE,3.8902439024390243,0.984
SPURN,3.890466531440162,0.986
INEPT,3.8906882591093117,0.988
SLICE,3.8906882591093117,0.988
SPLAT,3.8906882591093117,0.988
BURST,3.890909090909091,0.99
LANCE,3.890909090909091,0.99
MIRTH,3.8922764227642275,0.984
SHUNT,3.8922764227642275,0.984
RELIC,3.892494929006085,0.986
SMART,3.8927125506072873,0.988
APTLY,3.893574297188755,0.996
ABORT,3.894308943089431,0.984
TRIPE,3.894308943089431,0.984
DELTA,3.894523326572008,0.986
DRAFT,3.8947368421052633,0.988
SMOTE,3.895582329317269,0.996
TRIED,3.8961303462321792,0.982
SONIC,3.8971774193548385,0.992
AUDIT,3.8981670061099796,0.982
CLAIM,3.8981670061099796,0.982
PAYER,3.8981670061099796,0.982
SCALD,3.8981670061099796,0.982
OLDEN,3.898580121703854,0.986
MELON,3.898989898989899,0.99
PLIED,3.898989898989899,0.99
TEARY,3.8993963782696177,0.994
